P0,PB15
P1,PB14
P2,PB13
P3,PB12
P4,PB10
P5,PB11
P6,PA5
P7,PD12
P8,PD13
P9,PD14
PC8,PC8
PC9,PC9
PC10,PC10
PC11,PC11
PC12,PC12
PD0,PD0
PD2,PD2
LED_IR,PE2
LED_RED,PC0
LED_GREEN,PC2
LED_BLUE,PC1
PA15,PA15
USB_VBUS,PA9
USB_DM,PA11
USB_DP,PA12
USB_ID,PA10
PC5,PC5
PC4,PC4
PG8,PG8
PG15,PG15
PF11,PF11
PA7,PA7
PG4,PG4
PG5,PG5
PE0,PE0
PE1,PE1
PF0,PF0
PF1,PF1
PF2,PF2
PF3,PF3
PF4,PF4
PF5,PF5
PF12,PF12
PF13,PF13
PF14,PF14
PF15,PF15
PG0,PG0
PG1,PG1
PD14,PD14
PD15,PD15
PD0,PD0
PD1,PD1
PE7,PE7
PE8,PE8
PE9,PE9
PE10,PE10
PE11,PE11
PE12,PE12
PE13,PE13
PE14,PE14
PE15,PE15
PD8,PD8
PD9,PD9
PD10,PD10
